,initial position of a,initial position of b,initial position of c,initial velocity of a,initial velocity of b,initial velocity of c,mass of a,mass of b,mass of c,final position of a,final position of b,final position of c,final velocity of a,final velocity of b,final velocity of c
0,3.8473403407527607,4.125432320823208,2.348051295730879,-0.9760624703555361,-0.8118021266675346,-0.9665572439897367,36528495098.784836,31543399963.12403,10253433910.260633,-5.651610485947211,-5.628351994997086,-3.2175312730834023,-2.313510631685875,0.7251766832819684,-0.9301371263765262
1,2.906106966738525,0.15600309534762546,1.2519928592817524,0.8422990963843806,0.5268903994586958,-0.4912710127198312,48828055943.61788,43845072087.13772,42637577236.634094,4.2642866160292,5.4850201140544215,4.368006792137861,-2.215386664638881,-1.0178063265379402,4.598797531673582
2,3.9339333527531606,4.9421659593587535,0.8240745956293422,-0.4757426754931797,-0.5225956237075229,0.8399782432196019,25591033199.933617,22893377182.21455,18503096307.15963,0.29299840093092555,1.5376283401817918,5.426081722516882,-0.04399383038027721,0.04958294157687223,-0.46510055759744157
3,0.5143030809574706,2.563524989105686,2.389756196713197,-0.17620453448868223,-0.27594108601656897,-0.12274084269924312,44732157750.38214,20302082449.879406,34343888830.84272,0.18863288934502026,-0.4411406977164677,-0.5635189929202238,-2.1543804750828137,1.6349707222526852,1.3241712816525588
4,3.363914800453895,3.6812277881807227,1.7596570041186077,0.8502707848428213,0.3318068271664094,-0.3776847894567805,47156622032.27245,37602391065.17062,43145916690.961,6.726690736292464,5.334637799976429,5.051310157645216,-0.7017985031427633,1.5193544546622284,0.2836921535390515
5,3.2642109198568896,3.4510416610039716,1.2793733169739347,-0.964125428513358,0.9845253862022587,-0.7342740798255862,17183201545.413036,30067899707.629642,10116166220.563004,4.270762324774814,4.22926160985985,2.7999976714142405,1.6526509206994593,-1.1422985897095677,1.1423790100688038
6,1.627123405009705,1.1705360895966028,2.3610739531833893,0.49471904228207,0.7709719650467257,0.18255840621850572,41463743201.78021,42541327824.249825,44948128627.31233,8.777777827430102,5.350133166117301,5.495104841529243,0.33603795214792387,1.8729174246103188,-0.7140019689992069
7,2.623161474451932,4.417115852035405,4.510188824242818,0.6591152546207242,-0.8783335684180893,0.4053172553305402,15034474300.357443,46162828190.568665,47824534048.448906,1.6356057241800508,3.49193537988627,3.3607435416387323,-0.924164623885409,-0.36548528339051445,0.4080199136352853
8,1.2164972558984548,0.5900769023873742,4.88516355581043,0.07338548850431348,0.30258683426671973,0.44276284673492183,42202895104.70357,13019808111.021427,24166747853.208065,3.451258285958032,5.9687893208131015,5.424136273842771,0.4829132038948182,0.6101656304093862,-0.43811166104732424
9,3.866925165822073,4.5517170443089485,2.0973180784989163,0.6578719191489912,-0.005059495575165052,-0.5859454721495798,39871106055.48099,47016379556.01321,15846680791.931957,6.296924024568399,6.494347444873122,0.7624593547111045,3.0324647166095553,-2.029977199983668,-0.5527108723653849
10,3.086908280711547,0.9678653955378902,2.9774914896263804,0.8076637307783032,-0.6251348446619951,-0.8254668511546959,12385805713.756763,39917934161.28117,21213017907.568714,-3.9236644204855367,-1.2584135403697378,-4.04233187519003,-0.8147983955219463,-0.42485256643389985,-0.2550319450499906
11,1.3545318628963166,1.7170536854653817,4.214333415344724,0.5776290463376275,0.894778223928361,-0.6005428154808035,21484606150.939842,42818055871.855774,21162060685.664326,6.127876202272888,6.151892941413776,8.358358589399243,3.4326113849900812,-0.4979758518078488,-0.681024074300766
12,4.414268721787244,4.376919444278905,2.733355834107885,-0.9489594806101176,0.36702907255548634,-0.7618840570564727,29372247829.296288,17955025971.135513,20798253850.322243,-1.9668031159823365,-2.0768376948608065,-0.5354447770534593,-0.5932198154535138,-1.3317081019110333,0.2022351724854159
13,2.174354617225465,3.084750710521037,0.36548801989350455,-0.7950736051859741,0.38268719959920694,0.685610451107401,35733355138.7231,36411024923.63727,29414810688.13326,4.743306753852722,1.148110001110836,1.5765332788706052,0.5443978439618784,1.0767752562225916,-1.800765113056872
14,3.5573221406297972,2.6179918670192053,1.376256183710462,-0.39199351901983603,0.06942306554916344,-0.7796159130913127,46172721593.25212,31179831284.369667,27908646235.897587,-0.64013354004451,-0.13563656589753825,-2.1087823003957746,-1.466753083423184,1.7034025583650152,-0.8270073469164932
15,1.7482029435645714,4.764428674736302,2.6479570891981785,0.4490536269809142,-0.4701334740555976,-0.02480488396756053,28969192931.678905,48075747235.00215,44881699110.037186,4.520357234418354,2.2073409883026214,1.2122049904725414,-1.2245405586095224,0.053358432219464874,0.49468098105938996
16,3.9350813931990922,0.7793611035278364,0.19365775581046685,-0.2837043286310226,-0.6975345723744282,0.90463723171689,10795477760.478241,36068286373.10661,38826087821.614395,-1.612063438699785,1.9729760410742758,2.40484305240375,0.7827392555095192,-1.5295951148618663,1.3810753940111795
17,2.840991411799516,1.0660953482896,0.43047710440212605,-0.3001078816854106,0.6011074126024936,-0.12452655345876806,20491820847.519043,48947890174.188385,32926517307.544598,3.899883935442481,3.30774447956732,2.262038504195375,-1.2904506459203602,0.7438501476052751,0.27961490681077195
18,4.057684651542471,3.7420440473119543,4.748576702816693,0.771657277129046,-0.39522508872728257,-0.06688867014655098,42516341157.49125,46933008770.219666,26586336688.950706,5.257180013652868,5.168822233754416,5.0060405578301035,-3.147864090449057,0.06209423814873623,5.393823625703564
19,1.725925409900101,3.277859729243813,1.737869977138638,-0.41069007836193516,-0.38483473639698484,0.40916486039548206,20070233957.81985,18186871518.664906,13133797209.369225,-0.06779881768887794,1.1542502910221517,-0.09364137669335876,0.5389123548262376,-0.8862285283131964,-0.34765804228147384
