,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b,collision time
0,0.6380691038740105,1.5052220524424786,-0.646693723056192,0.09056930225805293,20750121522.17769,30179499149.44951,0.9957032695214948,0.9958297826620869,-3.0152994009006493,1.7191203729702098,7443.0
1,0.9422821258812286,1.513608748959,-0.5868842649400361,-0.04329009837384845,23148307336.0186,43085815910.5184,1.2431998656682322,1.2433893607330244,-3.3852629512539067,1.4601682557139393,3028.0
2,2.705784506437964,3.663127961343258,0.3911267131170648,-0.6916460540502383,24477331590.83641,25976962939.08938,3.133591386266469,3.1339126010823755,-2.6659179793332117,2.188917651590365,3904.0
3,4.757321183662077,0.36395710041035256,-0.6930750716451406,-0.7793012587627848,29999722202.80493,40234576682.89091,-1.1280124051843603,-1.728178906791706,-2.84573882898366,0.8257688088356381,50000.0
4,1.4220796764468824,0.34857165586248406,0.43826930851806356,0.7286767465608752,45697937766.99503,41491053499.48963,1.1861152747853636,1.1858063755835788,3.590147580288548,-2.742778542331303,4767.0
5,1.8024706921813434,0.9831339279071616,0.5602059675851951,-0.5980898094469622,13963419729.416296,28117499869.67984,1.0249262381314854,1.0248485215730072,2.7014297162929735,-1.6614420305326616,10768.0
6,2.34656746930364,2.745181383064503,0.07020529162649192,0.2858291596354827,49882553900.38397,24618108973.658333,2.50247131934484,2.5025254988102454,-1.2961814368309572,3.05447640642355,1712.0
7,0.26828564540950894,4.906678528044498,0.4672709621488855,-0.7818965922749677,20468468467.090813,17971665817.452324,2.1261714846432067,2.126454222915306,-2.3528868952593633,2.430065657797766,26601.0
8,1.8178441789181758,0.222849048916271,-0.9197377273874783,-0.3645904615296838,11351415441.548962,13140228309.214485,0.22368040304303097,0.22365384221495016,1.2784462348923853,-2.263530022213827,11875.0
9,2.9164768166611044,2.5359314540615867,0.1741827693688025,-0.8898780040253276,11513583028.590109,27230919836.664845,2.4703083292379344,2.4701579341947273,1.6936150431518793,-1.5323135054866497,3118.0
10,2.2157432672493997,2.5241543940195834,-0.4872759804000031,-0.15989105219022415,38273174217.75899,39838088879.85926,2.326523422902656,2.32659932907386,-2.217506874324617,1.502373135226778,1452.0
11,0.5511622660463783,1.9192630976017582,-0.08604129983539299,-0.4896653731562641,41538775611.74023,41106602623.14231,1.043482717968941,1.0437979653651985,-3.4447309885509534,2.9043357951737203,6556.0
12,1.1971535920285648,0.2232950106991094,-0.5560894716580036,0.06809468168214594,18324941422.030403,28205993719.540913,0.5213361051435017,0.5212216366531827,2.610447980470129,-1.9891493884217504,4815.0
13,1.3024813372724664,3.9187393105872066,0.04624756626809745,0.23927353448934752,19544648114.408363,11725334109.850132,2.763574433139225,2.763853642557633,-1.412891801855226,2.67147420635703,40479.0
14,2.9461138883720395,2.5665935483425866,0.04488430251452313,-0.5737764525569626,25111143523.13144,21221506701.025738,2.7157586751482126,2.7156681544628607,1.3104629777711436,-2.07131987404491,2373.0
15,3.7633309912221913,2.669718228755456,-0.6554988004915638,-0.3743313567244302,28175167760.812088,48213388008.37015,2.824286417587291,2.824106042263527,3.2729012297897317,-2.6700283499649684,5208.0
16,0.8191143120726979,2.7028755566433533,0.4952165396561701,0.8979640076837527,47563105874.19399,21944105803.590786,2.4969405427162203,2.497342308845645,-1.2661517233494035,4.7156700434918,17406.0
