,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b
0,0.5649563805204372,1.1502407239804953,0.9941344779951069,0.5438965783449279,21713923630.642723,25689260071.59137,1.5991242922435762,0.991810591554082,-0.2601095522662875,-1.0908614588778323
1,2.7638484557914955,1.6053434713242343,-0.27002888196764774,-0.5891092517241536,17915623983.99356,21455209425.680058,0.8824255507773022,2.3272896966556416,0.13284186675199722,0.21373710304256172
2,4.9190970967818215,3.388818527056112,0.6323569951620738,-0.6219933537646145,30089386694.35538,23472085133.82376,2.1725077598168387,3.2745175692898667,0.22569395441440981,1.4047469794703253
3,1.677237431924126,3.753326812171542,-0.9347569709841645,0.24220567582068409,12698738337.425688,43557522472.472534,0.6840401987095099,2.6730215131346697,-1.1032680887870259,-0.12117035234779333
4,1.620980229956529,3.0854714713685745,0.01808391449204838,0.5109851298724599,13273489512.682985,44553732174.95526,0.06874331749535957,0.610679788056759,-0.569893785933032,1.5288705250753065
5,4.704089743754413,4.656909578517646,0.6050924249863845,-0.5243319508499322,35836262760.39445,21983496097.42989,3.103463328988786,3.134517355359044,-0.07005113165078339,2.52071496409621
6,2.8061048220374127,3.3403545143280393,0.18357996795064158,0.46656682150832074,47412276882.55916,21973388321.249256,2.107634586160117,1.6274132931560574,-1.1272861864393784,-0.21278774281460655
7,1.9250183571898023,2.8988200940967914,0.2707568926341479,-0.359707739110517,20070082901.540436,45020213130.21422,1.6240933892376634,0.6429340850190665,0.474905268635963,-0.45071741111534697
8,1.0327859256587697,2.131717251555533,0.7519670561067096,0.6109586309773731,28799359869.44342,33096094040.865486,1.44671913674514,2.292037118250226,1.5900877734660372,0.14050840083044785
9,4.456999171986012,2.2591973905584855,0.3098379795601769,0.4818202512166565,13654906769.627834,48811786724.81811,2.4934759047698756,0.47465638847016106,1.0130013599156993,0.37531118230528326
10,3.491796902113935,0.6366244885347899,-0.7335679768244916,-0.3164403746332767,31328783413.64495,25402587486.945915,3.453964333519069,1.0567136930488723,-0.769449664531858,-0.6442487626833784
11,4.273030044478095,2.51860695273456,-0.5423429117109055,0.3507025477804395,34403833668.84148,34510595968.984604,1.7603710084695985,3.123867134789627,0.6945916951912574,-0.8824054667360263
12,0.0021010609155819315,3.62098423194799,-0.8276445546060407,-0.8368589698859812,14888809237.93386,47644364982.483376,1.342675299855414,4.1511134979138316,1.0266537659881585,-0.8764316528460615
13,4.153018633794797,4.868430696479793,0.25009567229964724,0.08955382407744183,11264462056.573965,15074313226.350334,0.683968409936858,0.9943473700196298,-0.6646532107847325,1.6002978323501718
14,1.9384363315516402,4.422788165672459,-0.8098214555307193,0.8878103667106363,28188833474.646645,35114380283.90219,2.755163825259328,2.9523556651666407,0.2994097086562866,-4.354727957000389
15,0.849908603376307,2.0032661582322486,-0.46575966541507263,-0.9969410073528653,41397186823.95293,26283499285.126446,2.7051270813394943,4.01693906951837,-0.15638623489689546,0.971210139359047
16,2.733294563388533,4.99580011334722,-0.9500819264458547,-0.7540843484602351,40821520010.642975,43486396914.02171,1.867090854524128,4.336313897734621,-1.1645554072112232,0.31760136574777836
17,0.5249970868587511,1.8797351333968066,-0.4774781783135702,0.21283252716476775,11867852782.675539,34416382839.83992,0.7362374015062833,2.288722945816546,-0.09797139038691711,0.08196663372968278
18,4.777320463280025,3.971365938399453,-0.3983007494205246,0.4442667422245403,21294060812.19375,11274214061.427137,3.2972749700787585,3.686588523284331,0.7845954801900323,-1.78991686566179
19,1.3502662854496088,1.5382302459838149,-0.35402783604757593,0.1196347861794913,27792142672.087254,24863491169.14178,0.18167506251996005,0.0835317663044504,2.831500611041122,-3.4411146067843594
20,3.6165456106680667,3.322299631412402,0.9653896401851365,-0.3688084580782143,23286440506.70027,38841418363.74347,4.558740785780597,4.857106512235327,-1.1672148790176433,0.9097434165128095
21,4.573412836147969,3.749577091985507,0.1574597977820913,0.16907319597058668,37268509176.34305,44637783555.6353,0.8699874336196622,0.6773847313962792,-4.127950087274555,2.478432784101792
22,4.611448731847923,3.7087396781396493,0.3691327057951943,0.13616839935887226,14339263774.057808,26554775861.384224,1.0989327581025974,1.4444946465268729,1.6043793822997818,-1.4879818994387584
23,1.474982447847757,1.1917966114835177,-0.851036453458135,0.3753594559010478,28874983294.0791,33555545606.724052,3.312586643524014,3.4319795705383984,-4.982062778600094,-0.26730272793721066
24,1.8780822955002174,2.5380307285070582,-0.9919271438871216,-0.8812298084492778,38473905764.18381,45923254080.5406,2.3599019200985905,1.697562737208275,1.3717518047667638,-0.7718346353428805
25,2.7261338738215284,2.899130487117137,0.6035725402970802,-0.8012374683116985,16708014604.370787,39274326054.22519,4.491754403277733,4.447686106863894,-7.523321967342111,-2.3397290804590765
26,1.8602911747659996,3.853585826073971,-0.02939549994927848,-0.541277819493845,25970576596.811295,10362118997.354269,0.14020237582190015,2.015126463548729,0.018657087716086162,-0.6617120095428719
27,1.4020018199835838,0.10205788670435978,-0.3833937799779519,0.21205608150504363,28404956487.44055,48002171553.4197,2.3709877282678162,3.3311345189275126,0.8512091394378192,-0.9912631726229826
28,2.0431967376513605,1.2403808499764823,-0.4097025020577991,-0.8360739398275512,20924614917.459602,18107370450.17826,2.557363003053656,2.0566334348086825,1.3338909572040316,-1.0260826676281547
29,3.4665218472434045,0.9790957037103681,0.5153963196777502,0.02499273751992015,24130195310.918053,11557080459.814802,0.7098806853132529,0.5196234887307439,-1.8568116175276408,3.008970168195339
30,1.6142063871538437,3.872463994272067,0.2279214716910567,-0.7167182275968773,43808537867.94503,34159500830.675804,2.613557763670181,0.788820396674036,0.876828968948509,-0.5776552644206249
31,0.707819311469346,3.2175158405809916,0.8342766461147813,-0.24120258025075003,23698853350.982094,23390411838.317963,0.8363004432582724,3.2623713289740524,0.9025911960561642,-0.12663946960939085
32,2.2157313241127103,3.7713075010331165,0.3384615585455599,0.4127038043545388,41922243950.6682,36893228672.27741,1.40685140144702,1.7083282563035234,-2.9106158573153826,2.4256328252463506
33,2.5567279061330805,1.5204394904787777,0.9228357448270816,0.6573530138981734,40216813774.7443,24721020293.01277,4.545436546150998,3.876224604765839,1.6926104288597545,0.714174514912633
34,0.7192919204948062,2.2826518241061993,-0.7479963270790624,0.8654558956476777,22292933223.704567,40856129033.10956,0.2508453294794001,3.114706589477985,-0.3621994928599257,-0.3952085812128206
35,1.0524668845709106,2.142688886692169,0.3155723913209849,-0.504742681507508,16706783185.724241,17060035534.419584,1.1067212877154127,0.13251123544551405,0.4714091863135838,-0.6573526535703961
36,3.756797069398295,0.1705592012998708,0.3391243709885843,0.37303359870796227,30035543944.45968,37200483243.28427,3.7055363291032672,0.19569919515297776,-0.26637565326840584,-0.5014603563769815
37,2.6133351133871807,1.3818546199147823,0.41608049154795546,-0.20818128412026127,43672490344.49069,37990349179.42749,2.809254054141502,3.8579478835068626,-0.6096651630899714,0.9709831133035363
38,3.8344025468872034,0.5761033322856668,-0.48054259212485717,0.7981224001544147,48583092731.130035,48085238743.02278,1.8617206636587245,4.295790508808717,0.5894971131794096,1.161073049695645
39,2.14143475077472,4.461745531356015,-0.5458774301975526,-0.002605307415697533,49093874885.1438,13025728037.108694,2.6961167318828987,4.01640016525234,0.6892521441132691,-1.246524603574737
40,1.939663323971725,1.543355313005208,0.11743899087908116,0.3915431334617505,11633043292.596823,14254658400.734837,4.477302314718164,4.346256614061346,-2.0727120704387856,2.1788972318472384
41,2.3167246052911543,2.056297353978391,-0.6304967071076955,-0.15115724890742355,14841473240.193935,37348859651.91161,1.243688268620867,1.4181556556607118,-2.5024829156096864,1.4993791173188338
42,2.3982062209449193,4.336437531101625,0.49589662812673363,-0.9686258555229468,42769091561.77172,27404349166.11588,1.0754515737883195,4.453859987404951,-0.25523397861796365,0.20363966700346614
43,3.291436620867837,4.353188739913655,-0.23024133705015326,0.9994028571775821,47749700448.619385,10134483286.756182,3.537455690334278,2.340005678015991,-0.183601138723101,0.7796525812173116
