,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b,if collided
0,0.8565420897397552,0.7954482279510117,-0.7558909887154699,0.5465280523805616,25641285697.39795,22859221062.22085,0.7174411725690263,0.6502106355886742,-0.743336186928388,0.5324452777041886,1.0
1,4.060130576349257,4.403142617681031,-0.5303699089190925,-0.797411541376984,39742620371.62961,14502436202.804386,3.4595967627707775,3.7986841910444933,-0.7480884436454908,-0.200773503981202,1.0
2,3.527321171735349,3.786097885633036,0.5560612749873242,0.03219613096465013,41398328213.44437,42024910383.73059,3.817210172173535,4.080265734416972,0.3343815706601492,0.2505706396596029,1.0
3,1.7956808759365273,2.0579425461020415,0.5660838592835882,-0.2983291312403158,35244953917.49784,44369081354.05521,1.877635585990002,2.1441249492471157,-0.3085647046974333,0.39645533106407427,1.0
4,3.391759548780861,3.8939028915568437,-0.4432086414162608,0.8143097869147906,14592518950.67138,38951877449.7796,4.070684669621349,4.287698712618687,-2.2278940442161272,1.4829054302164661,1.0
5,4.485723977847612,3.679143447733273,-0.33523608101948055,-0.6132322560286336,28204760492.87396,37352319674.71547,3.9595095701953995,3.210205685299853,-1.0399312930521831,-0.08111645039872567,1.0
6,0.9346074952112354,0.6687898290453798,-0.9344777724123241,0.476636301108313,32325860902.517906,44697381360.66236,0.8187183017647819,0.553489457958868,0.7267650746247352,-0.7248010888208385,1.0
7,1.5989343625061547,1.231145349438934,0.6037546631257971,-0.011939423126150928,10863161868.02502,17309092635.275467,1.8096544496487015,1.465800470796716,0.8303279384905015,-0.15413648782031017,1.0
8,3.7760047040328892,1.7963823571653519,0.27061872314020663,-0.6187019011087467,49508147642.401955,18255957492.263298,3.918661842562481,1.524698191288722,0.029833323231564665,0.03428160489819983,0.0
9,1.8723584578838737,2.1041423480954826,0.03988702616455875,-0.07497880486696618,44625922511.66133,25725859716.215218,1.9103773307775769,2.032406491125147,-0.8314024076966045,1.4364223762647852,1.0
10,3.2085652661126876,3.054006149763321,-0.9801609278244809,-0.13355339808815403,33223681303.369595,44425678779.01654,2.7199757115729524,2.553178418666728,-0.254025784619621,-0.6765925422060752,1.0
11,0.19025880466457867,2.0511636791755916,0.5282843902831114,0.38536408436722525,16695022997.616745,32465502873.083496,1.0894424849318118,2.2457969376476528,1.4064658872393736,-0.06623096238381093,0.0
12,4.702558618225568,0.7466291739928715,0.06965393473673576,-0.19494907201218759,15227372954.627584,14418534648.388123,4.74262786798442,0.5829244026596153,0.011458389442415864,-0.13348892407727853,0.0
13,1.5516307983465722,3.3478529603772222,-0.9564798638202565,-0.7570459636579723,32837668565.852066,43151336557.25928,1.0849354191485598,2.2180866627064346,0.1951853857134114,-1.633449912648377,0.0
14,2.6061303536460962,1.0237059916099667,-0.49322612884969663,-0.13720310560090376,19688952431.979362,24339095016.258926,1.587634869864737,1.311416110445612,-2.487599348828555,1.4761321245523107,0.0
15,3.9438397068746034,4.80838193507244,-0.8682308277266837,-0.2636939732511161,22923912536.610313,44158616602.5851,3.4546286565845605,4.348000154662225,-0.6090849886489543,-0.3982234718245936,1.0
16,0.07079178330488545,3.935634260562659,-0.7477664746034862,0.7250141532089442,36077562501.916016,18268480419.633095,0.7013490438870589,4.584280837645366,0.8106627746682498,0.5711778524492712,0.0
17,4.3292172638169655,3.883916050201533,0.8684921668456183,-0.04189211618647248,43239426247.7821,37451311497.60533,4.6917361250307765,4.42590736296047,2.1234854997586856,-1.4908451565472003,1.0
18,2.3562709232623007,1.075194210077011,0.7304272835209444,0.8613358660459465,26662203059.25673,37954259029.985664,2.9085572477629604,2.0615335389045306,1.9027755688843868,0.03778170270852219,1.0
19,4.592035006975161,1.3661963040115233,0.9056582530235642,-0.09099682077548943,30150782743.15056,25956359132.42633,4.535571371155278,1.3601985188139516,-0.9158821583364041,0.08035211773433062,0.0
20,1.7488639656933307,3.1099117776204928,-0.23424526125762313,0.15574178730988164,44079938650.01232,39412812767.74127,2.1296037568957904,2.577854781997042,-1.9781070200583342,2.106105487435201,1.0
21,2.0475290080119635,1.9031286667105352,0.5026755273677084,-0.29671107025861354,39453532842.38778,28421333594.548416,2.177314723772231,2.123930279647456,-0.5404255203712531,1.1512864808764274,1.0
22,0.6040789721913303,4.708809093644512,-0.814894697117245,0.7583475770255106,33448073894.366924,48135721272.09429,0.13659353463411172,4.55150064376866,0.7196409732446384,-0.774737680953908,0.0
23,1.2152239139462258,2.7467270463232936,0.6485026049792417,0.33192919916596897,23871961279.705605,46730312950.569145,2.236011086815674,2.8884100980356124,-1.4794165621237523,1.4189667291127424,1.0
24,1.329837503103507,3.594791943473789,-0.09351296525301023,-0.23744652876259464,31125307531.79334,35128842826.01001,1.495012948485815,3.128138993770608,0.48629123491883885,-0.7511720769668836,0.0
25,1.3703904665583249,4.900217600910602,0.7440673161067028,-0.5045617940688027,31527318929.586697,33063810979.71829,2.2356515353662725,4.280093989239172,1.0395312543962516,-0.7862953734302475,0.0
26,1.4110489892186688,0.704174716211986,-0.3148127495122288,-0.3023865455245063,33442105733.8928,33876989910.281082,0.7520244313977463,0.7416425943988543,-2.8981753602314084,2.2478130384839163,1.0
