,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b
0,3.8677137852396632,4.0650488768918756,0.7567060400339787,-0.454595873322557,41401769835.395035,31588386357.009686,6.270597448863445,6.2856045472828095,1.394471769969496,-1.2904926380787411
1,3.3144980810861413,1.7075812772033312,0.6433688294803792,0.387366061536093,33557544207.07848,40139762737.76245,8.05810165247817,6.9937196857223,1.485172832033994,-0.3163968185273299
2,1.2883374545940125,0.5130983401949435,0.6662644449744022,0.42671565740130135,47369528012.60207,31318210058.67466,7.0018193893476015,6.213877264086612,0.6902969602285515,0.39036591383637964
3,3.87477422357693,0.45021772077652233,0.6647715523051934,-0.7132003693124467,27129376509.259598,13586020687.373468,9.259458601768856,-4.1596900429870445,0.4874648954365855,-0.3591438606058402
4,1.4856648998852258,1.9679600988140633,0.9276333774789665,0.7618601464698669,24753046801.46431,16743368669.120686,10.11638628323419,10.536968266354318,0.3213203325895478,1.6582206981051568
5,2.569470171212451,0.1995632405353326,0.697535984341495,0.83077635462832,29195745702.944973,19396396265.237732,9.959372701937715,7.882974791414264,0.4932381129653896,1.138288565597024
6,1.1171381446482505,2.255358173229345,0.5435229666549439,0.794285717605604,20591150857.016052,38853211553.058014,8.178175918534391,9.335823405776138,0.629059326690302,0.7489537611766401
7,4.662990681873003,2.1512163871284202,-0.4094297859338234,-0.4119523887611103,16037716546.350204,18841963669.67205,0.24213650909259707,-1.6902004334362908,-0.005552014615312038,-0.7557210813100393
8,3.651350455962317,1.6945804838162997,0.06645193118548343,-0.5902267159643333,37712385791.07391,24159910545.820778,1.4475264196643027,0.2697966679451925,0.5138304586010937,-1.2885617362261619
9,0.07312626266681443,0.1482726397539691,0.8694164674108626,-0.1782372285655216,37644084145.34652,13871112360.716316,5.928599069309971,6.062915490826286,0.6185696323197031,0.5025228375491912
10,2.923454385069506,4.161550975190201,-0.7942569058725595,0.5749958098727317,10634234228.360367,24875807785.13335,4.634144458182496,5.784784616209496,1.1966862723705796,-0.2761185047123467
11,2.344033219619991,3.6603970091376663,0.24708294015560783,0.4487412012273666,23928798900.171074,28664537444.989296,6.109998843549211,7.066317929798038,1.144311103099148,-0.3002536960336879
12,0.06551302663657665,3.8544397659895653,0.8905338238817211,-0.48134194802893626,40938477194.61871,47244175468.283104,-1.020857618252827,7.699102907884642,-0.04284988499904715,0.3274626781730191
