,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b,if collided
7763,4.0266599847062565,2.7222285675470346,0.4425271001330875,0.19645596522517295,14274271085.130636,43519288100.6369,3.360610854840534,3.282261964263999,4.166468984221587,-1.0249922311660173,0.0
7764,1.6244998959793888,4.729912380924164,-0.4668934141178349,-0.2229209390509299,45144400424.138695,10974157741.489368,1.1944023706521347,4.3556241682606105,-0.39373529007065583,-0.5238715654282421,3.1054368802503065
7765,4.584158981049958,2.1898777194103634,-0.01311226587280867,-0.10387725791177238,26795696564.980637,43657217827.27868,4.307904375974062,2.2475105765631875,-0.5669201294843685,0.23603600745813427,2.0603937994108747
7766,1.5508646853405605,0.24076806848506216,-0.7155094761699989,0.8447556327211185,45472580360.815025,10690891243.42402,1.1452393076704668,-0.23231582813010843,-0.13863814942697172,-1.6089058222400927,0.0
7767,2.4630085310441046,1.8432431219306378,0.4808849265358124,0.3496615058260317,18728369928.73621,44013692675.446365,2.7206653101028166,2.287780105219531,2.067029768273292,-0.32526271777104804,0.0
7768,0.9779183612139608,0.4037190696607784,-0.19607138365014776,-0.5284543311913628,42566406171.741165,49247672274.823006,0.5508674316442308,0.07504765113269582,-1.5100495999043537,0.607260878692575,0.0
7769,3.8694678985026965,2.1212734652320457,-0.7670725898203978,-0.2119244022725184,34365965185.88977,37498529191.79341,2.716274697033689,2.2633053003872448,1.602102763146107,-2.38318283438014,0.0
7770,3.0043474746804306,1.5697369162207724,0.749865315503776,0.8560104495231124,44050787117.315506,47166557876.02639,3.553905090954983,2.612667325379281,1.8989240969026542,-0.21714277691593903,0.0
7771,1.0512453351674167,3.19402017365971,0.09476642598648732,0.5490630433115884,47041603265.65236,26826979885.637108,1.3295527442984862,3.4212407230013535,0.4647991638808278,-0.09979617697836246,2.0916879787028675
7772,2.7981967628835234,3.7248434662338505,0.054579229793323414,-0.4142376928103011,12481865571.162926,34070416446.619846,2.497004316953234,3.440983910637652,-0.5246203462648785,-0.2020450635080005,0.0
7773,4.33267734493544,1.020739706193018,-0.8970327107667242,-0.5440405607705703,37970854784.00476,25297312160.529984,3.3507238732805207,0.6041638286018486,-1.0781325475715329,-0.2722126463626551,2.746560044678672
7774,2.241935827256003,0.4064022146927354,0.04706774959535198,-0.19657345714211516,32807522873.73608,20800653031.989414,2.081075718637033,0.5377799018710688,-0.3939879590475013,0.4990751471415509,1.5432958167659638
7775,0.14110690313637098,1.7475561463643414,-0.3829330163304112,0.4265134435303459,19577185024.832382,23834479627.39224,0.007496126543978206,1.9692810778540328,0.08482604036836583,0.04230511411883729,1.6065301822602702
7776,1.7770340916062262,1.3753274679724852,0.035179989609620765,-0.267367417672973,22375713116.407883,32527186084.570892,1.4464763753516336,1.3596269120042357,2.0046519435755235,-1.622183026935148,0.0
7777,1.6809521714101079,1.6978518563239775,0.8265840017793622,0.14065662837724724,26923503240.25354,13859612392.758919,2.2687505567575497,2.3018464151375673,0.7968364789510505,0.19844378032357912,0.0
7778,4.305613888367924,3.768267829876341,-0.030734398900729154,0.18036487968478943,46364422477.853195,33594746388.330345,4.27000138054993,3.9553374435151616,-1.4203232117984472,2.098149346546197,0.0
7779,1.3788992633527886,0.0030360323659189836,0.07935635913320338,-0.33531421253125204,22217800240.353134,42467867827.1467,0.605171274978685,0.11402766448490788,-2.4106543027339895,0.9673779712838014,0.4911436104937771
7780,3.440680293092715,0.8806986205838074,0.23534816960178762,-0.5801775875654271,10657055916.028862,37015880502.10872,3.5165641229479734,0.3464316087561211,-0.06243875690503274,-0.49444325182094234,2.560063222657042
7781,4.378550257980864,3.157305963881289,-0.2217880195517834,0.3396414849716254,41624893139.452805,48278077930.01972,4.450747874503815,3.243461027180734,0.43847229591610604,-0.22962859068073033,0.0
7782,4.944054871963343,3.8822184137698432,0.3556634908984697,-0.9531838877233938,46644445804.840126,46875429235.01697,4.329769208688668,3.894264084717362,1.8503840988494067,-2.4405391083314263,0.0
7783,3.987603306065145,2.0647980175610225,-0.007320675317259884,-0.9221439550478574,25913298828.01223,17932442140.606316,3.851392196180822,1.328907352545857,-0.24384053866551172,-0.5803606190333336,1.9228967668744894
7784,4.067213851125361,4.769998957584917,0.45068182202353047,0.3864608325752139,12440214815.545958,12561447423.143349,4.489234373341002,5.184761195716095,0.29847260965577804,0.5372010486486584,0.0
7785,3.2709987913269414,2.9468107860441988,-0.6971987602634879,0.5245477512432868,47188521302.27981,30976895147.88725,2.9738791846718686,2.8621146732589966,1.287730831788064,-2.4991862895919494,0.0
7786,4.89938012550483,2.0889295813175233,-0.9294479927642121,-0.5337845774282315,35797521636.95727,10223933142.270569,3.9207156523311992,1.727468902904875,-1.036699323837213,-0.15826061896215282,2.193246749426324
7787,1.0625189181898143,1.177998998729406,-0.5376424525973327,-0.5789382276468229,34313465243.63367,35764344946.94481,0.5422952980079037,0.582786489736168,-1.1932908878277528,0.05011201296839963,0.0
7788,1.9903519392546505,2.1424871772774323,0.7438567379148433,-0.32533735393375096,26509101196.545364,44997535107.953606,2.060640878008995,2.213919225712788,-0.5948219377378539,0.46330958855759813,0.0
7789,3.916613338613939,0.280534834301564,-0.39625689162978484,-0.8287433484055,34955009523.27267,26922421025.630726,3.4565706507894802,-0.4653915523116778,-0.5206934563992179,-0.6671798210236994,3.6361217513961948
7790,4.350991128053972,0.14252094011374838,0.8265142607993636,0.7360565035369033,28459599034.08987,18220098971.826546,5.143427511129438,0.9318067228908368,0.7583755379296493,0.8424884573130887,4.208479232836411
7791,0.6026784670720081,1.2036283670114045,0.6630808656293861,0.803969718791024,29486032651.752277,17730961048.0808,1.5207027504797446,1.5832538397954947,-0.8116964509963742,3.2564781865594834,0.0
7792,3.3728963761513326,0.601573835910334,0.48017260451394206,0.21720055805318572,32483285934.74779,46438398471.79565,3.6558011743152647,0.9567616366389843,0.08214630551942521,0.4956167503695709,2.6990395376762804
7793,0.267281525060204,4.638916336572924,0.7237236061236922,0.6551451057862394,17330903196.72,11283533632.556519,1.010995025092629,5.2633580361810255,0.7640752934864954,0.5931670756511386,4.252363011088397
7794,0.818077661943809,2.5385857761914443,0.8194789315935784,-0.2540286391493227,39313456331.94508,24398969905.037224,1.5418428520100662,2.438671682095872,-0.5060618246827132,1.8817823742214865,0.0
