,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b
0,3.2547293088691385,1.9095412166725123,-0.3564082208160775,-0.5016777158253718,13003183740.972845,39809910073.86302,3.1184848732997414,1.5982395391776927,0.6417422694462084,0.24635227668692952
1,4.708735508625512,3.015088248989572,0.31404196560218267,0.7734781337441328,10490736191.642353,19509078490.084816,2.543220350318566,0.12221951287990161,0.7467122048199348,0.3568622630090322
2,3.550432949318213,0.35252195306831824,0.8935659757008314,0.7642050302497108,13529410787.96256,34900417037.237564,2.545856258276508,1.476620122723516,0.9433842123037505,1.3086368964948851
3,1.4980970173107804,4.400181041377377,0.177843124032532,0.07707206634369457,11205821582.076153,23731392751.495644,2.0618165337329675,3.985306168130034,-0.7778672196662996,0.10643318261214274
4,0.6936040319573261,1.111871665411247,-0.9200094479812724,0.3583766885151147,31106074614.76163,47207192664.595825,3.4581994779565517,3.9176313130290743,1.055851865800072,0.3675504523601567
5,1.8059243393466167,1.5461488471137437,0.5157935763753609,-0.7493562497206538,31929176900.94544,42912300376.25112,2.3213629319729607,2.0433142519109126,1.6178786946565729,0.1279338240116783
6,0.30810886230155987,1.2246055835639496,0.8918152654071256,-0.6902940759144329,23047219077.146908,11922052133.123188,3.6470633558322323,4.1481065038069485,0.9389965955358642,-1.7709595866431735
7,3.230373607061959,1.6901410319671402,0.2580253690260108,0.18962759882010571,32655153654.631165,30661379964.258137,4.236784338612016,2.77647567409765,-0.5590193774995746,-0.2607165316165804
8,1.555480096526789,0.6427002640123264,-0.9261161605821597,-0.44416151405080995,28206618097.533375,34080309849.117386,3.0957132424724287,2.248275873528761,-1.339532849923375,0.09426904152949568
9,1.5344847294078474,3.9985058375164435,-0.955995317401559,-0.1476066091235364,23420545627.291367,49803996759.331795,2.4165138238458144,4.191942687166542,1.445468403127575,-0.05694949709301249
10,3.3134488414776184,2.8393162311114226,-0.6913066701916897,-0.03502517799683513,48190334891.99467,24721906508.225067,1.4649748877416586,0.9428152359639557,0.6153641309707671,-0.48682469531218797
11,2.5960139376658415,2.9124842465172476,-0.6608421336938524,-0.11018688078989891,38706941178.66583,26615435231.708115,4.20061465645714,4.472031360531143,0.1656291958483604,2.307886082590081
12,4.646683301221577,2.595591083922465,0.3900069001473936,-0.7619044543514035,19971510562.616867,42205426428.53732,4.488213165987661,1.7802493339427872,0.615389950730169,0.4371786132629504
13,4.296795231855428,3.7576923792552575,-0.7340576134387657,-0.41935064020490276,40705229255.32394,21545098401.923073,4.621782919780419,4.426531125331278,-0.583051303034441,4.385496344850874
14,1.4638438969666234,0.3043974011902739,-0.764482743289606,-0.5602109994854607,36428976653.6915,32004132542.620365,1.8696616947796174,0.8478054864063016,-0.0018699643864361192,-1.3682218380244158
15,3.4536450565700134,2.8185221707348833,0.13290895415996995,-0.28567270669900724,43042260007.25523,45968287269.02534,2.472396513283917,2.125105087625487,2.0817091708487294,-2.110425609455736
16,3.818446147817718,4.327988906676389,-0.12160139881518539,0.3149887824222617,40601636695.0725,33401301069.53749,3.9302829334717013,4.38499389602347,0.4163035077102365,-1.4825374731742755
17,1.6864467843232718,3.416874017161324,0.5687893884681923,0.31346755129166715,19865471345.657734,14487185402.216532,0.5937797415187885,2.0261182093651806,-0.4770745952374334,-0.7735443591922125
18,1.1209404555887192,2.6942224718099017,-0.3306764158842985,0.604325995438596,11537419079.96817,37163469501.29557,1.1546735233395682,1.4126956534090254,-4.186764562270552,0.013174782080992722
19,1.1870399846474515,0.9941168734185973,-0.20625636240554246,-0.5371025294958178,38465016414.39511,23103718497.076714,4.1520583895117,4.146455500156333,1.2599021540751592,-8.374784174896742
20,4.179084807818596,4.725323276108497,0.23428720146152826,0.32525898323539537,11386091089.611893,15284138205.989418,2.5105620727985962,2.6732678744190492,-1.1809822378374064,2.4142532215827304
21,3.305090821592875,3.232200228049702,-0.7765306739256361,0.20058228352007657,47295808247.80749,10083085808.839361,1.3835863002957538,1.2984991103866537,-0.272333353186841,2.869157706898196
22,2.4713551640281386,0.27265496761869734,-0.12545610576912924,-0.5263202035702093,24265901753.89272,27739923481.47072,3.665819010867361,2.8814286174532997,-0.9741431531910889,1.467598731857463
23,2.1515792031024845,4.493593363449974,-0.9182866522929447,-0.11307517383022136,15879392268.851595,31828317568.58271,0.535258010050483,3.691565675595252,0.1653102431916026,0.4576010514250443
24,4.34979643777811,3.4348794079190985,0.9319444943958544,0.08734500383674315,26283005203.45196,26201390965.210022,1.7313914139174413,1.118503383921896,-1.5052491593635644,0.8003214825304148
25,0.3104393637007441,2.332559468046476,0.6972269677559748,-0.46323329733642615,18400052938.091385,29036626584.86803,3.998999300795165,4.700586762893305,-0.30012567033776855,-1.6708524652629135
26,4.973095488859797,0.26690913510241443,0.2560687718931052,0.5239307141994349,14661616460.445362,42489919704.274666,4.898094234409423,0.3585922226349457,-0.22672454091532251,0.5636641260703431
27,4.281042711585361,1.3425742417497044,0.9791781101006227,-0.9471352393179016,47738640446.50609,12963917162.632782,3.3585369905227798,1.199748705527528,-0.6104017965772108,-1.9982654018815764
28,1.3008597953806877,0.005169554755863337,-0.6309001846242828,-0.5909138931868256,44601872222.733,19171776667.649033,4.370852756051279,3.455596642652253,0.5081502627705023,-1.6888062406655535
29,0.9945827882323083,4.906206591985352,-0.20673464684980392,0.6923733671976018,31955713750.9968,25005888737.06553,2.5074030342338474,4.641200551773095,-0.7375689598692439,0.9072032038079525
30,0.8485607511154397,4.01779181055329,-0.7635215336636743,0.36570671843838554,35897096222.45863,40400825043.69838,0.6386146045127672,2.5085750428420384,1.2012997683954203,-0.6969117094809505
31,0.9416202013512881,2.263245363692708,0.1658738699090161,-0.2867389772911253,45678055599.92479,30093497750.55802,0.8147214925344193,2.106225405774147,0.34326081586196794,-0.5559895259345733
32,1.3774360455935253,2.825101953297586,0.053740799319273114,0.16451135543622142,19335561885.194576,19150210601.650604,2.44223588720023,3.93771038193014,0.09132926177981779,0.12655908132327082
33,2.3400406336207498,1.6776796152108397,-0.5848518398188891,-0.4571212081360563,10373843097.08354,48327097462.18886,4.21569207084799,4.1398031335442225,7.16611703331943,-2.3404763490633504
34,1.762077532628152,0.3093704790187629,-0.68332020654572,0.14575527744104955,36567217832.71977,34119367832.953945,4.919869607525672,3.1608184984537826,0.0960401099223362,-0.35200454186436086
35,4.385867722802122,3.0019165034926547,-0.0038408060792818333,0.2536082203663923,26479085295.112778,20753396401.943794,3.6895970892994363,2.4298204693102257,-0.5690761188654504,0.026332823638081634
36,4.549598485102969,4.7415693567845,-0.8141716394355549,-0.3660170853558007,11683004842.794937,36521161854.129745,0.17757805686553202,0.3168500109409873,3.4748241378140605,-0.7155333007379187
37,3.8084497905467125,2.1433407867963608,-0.026337297554597017,-0.9981936704481682,18949111850.340427,10434168252.37332,3.0381032151536664,1.6710094299382803,0.33146532675357826,1.0728637792420828
38,4.601277193800501,4.01658000427731,-0.11629662885214165,-0.9718262324728086,29830740795.94476,46618981698.798325,4.4766766459191585,4.028576190146891,-0.19033971285322332,1.913446684985319
