,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b,if collided
0,3.0,2.0,-0.03497886602246103,-0.10294986138553575,10000000000.0,10000000000.0,2.5051527179903292,2.3569185546016973,-1.4938652925695735,1.3559365651615785,0.14823416338863193
1,3.0,2.0,-0.7274838061910263,0.12327213927174885,10000000000.0,10000000000.0,2.5957288435834287,1.8001199106639934,0.2919100394347185,-0.8961217063539998,0.0
2,3.0,2.0,0.327587372459353,-0.3425673367664843,10000000000.0,10000000000.0,3.0636604150831652,1.9213596206096875,-0.17816262985728767,0.16318266555015573,1.0000670087969254
3,3.0,2.0,-0.6920676341248011,0.15664196226303906,10000000000.0,10000000000.0,2.629619633141944,1.8350082375634695,0.32645746143730553,-0.8618831332990722,0.0
4,3.0,2.0,-0.3685750211048193,0.22617581001794473,10000000000.0,10000000000.0,2.7628143670452627,2.0948006617889683,0.5771713716221594,-0.7195705827090295,0.0
5,3.0,2.0,0.4088900050078492,0.3187355571792627,10000000000.0,10000000000.0,2.964013942932831,2.763611619254288,-1.0005729033384414,1.7281984655255538,0.20040232367854305
6,3.0,2.0,0.0013000354777139567,-0.04385926639594451,10000000000.0,10000000000.0,2.52598406531328,2.4314567037685046,-1.4860343784912542,1.4434751475730243,0.09452736154477526
7,3.0,2.0,-0.8623972866975071,-0.1993118114388479,10000000000.0,10000000000.0,2.321171994318386,1.6172250784550783,0.09442540678224363,-1.1561345049185963,0.0
8,3.0,2.0,-0.9160521794551895,0.8499820808196064,10000000000.0,10000000000.0,3.1093325349910224,1.8246039733832615,0.7620498476855245,-0.8281199463211047,0.0
9,3.0,2.0,-0.07608959794469827,-0.8383817659276065,10000000000.0,10000000000.0,2.673178911380112,1.4123497247475902,-0.5420629082131928,-0.3724084556591133,1.0000762225428013
10,3.0,2.0,-0.595037521345892,-0.21660477195488292,10000000000.0,10000000000.0,2.359712433802933,1.8287264371256393,0.38379121756197415,-1.1954335108627503,0.0
11,3.0,2.0,0.33013301376271786,0.16096631608720768,10000000000.0,10000000000.0,2.9324925815924625,2.558606748257448,-0.7967699420712612,1.2878692719211875,0.37388583333501435
12,3.0,2.0,0.2276371711601739,0.758768918398181,10000000000.0,10000000000.0,3.3091293571054146,2.6771780918439743,1.1709220535698697,-0.18451596401152084,0.0
